"Query","Marker.name","Sbicolor_3"
"Chr02-000769241-top","MsaSorghum000406","Chr01-01929471-bot"
"Chr01-002656738-bot","MsaSorghum000417","Chr01-01982138-bot"
"Chr02-000630815-top","MsaSorghum000417","Chr01-01982138-bot"
"Chr01-002693075-bot","MsaSorghum000421","Chr01-01989874-bot"
"Chr02-000595473-top","MsaSorghum000421","Chr01-01989874-bot"
"Chr01-002698584-bot","MsaSorghum000422","Chr01-01993548-bot"
"Chr02-000591958-top","MsaSorghum000422","Chr01-01993548-bot"
"Chr01-002706916-bot","MsaSorghum000425","Chr01-02005946-bot"
"Chr02-000582725-top","MsaSorghum000425","Chr01-02005946-bot"
"Chr01-002706939-top","MsaSorghum000426","Chr01-02005969-top"
"Chr02-000582702-bot","MsaSorghum000426","Chr01-02005969-top"
"Chr01-002730850-top","MsaSorghum000428","Chr01-02018907-top"
"Chr02-000566144-bot","MsaSorghum000428","Chr01-02018907-top"
"Chr01-002731848-bot","MsaSorghum000429","Chr01-02019818-bot"
"Chr02-000565213-top","MsaSorghum000429","Chr01-02019818-bot"
"Chr01-002734762-top","MsaSorghum000431","Chr01-02022539-top"
"Chr02-000562457-bot","MsaSorghum000431","Chr01-02022539-top"
"Chr01-002734765-bot","MsaSorghum000432","Chr01-02022542-bot"
"Chr02-000562454-top","MsaSorghum000432","Chr01-02022542-bot"
"Chr01-002748880-top","MsaSorghum000433","Chr01-02030700-top"
"Chr02-000527663-bot","MsaSorghum000433","Chr01-02030700-top"
"Chr01-002748928-bot","MsaSorghum000435","Chr01-02030752-bot"
"Chr02-000527609-top","MsaSorghum000435","Chr01-02030752-bot"
"Chr01-003068431-bot","MsaSorghum000452","Chr01-02084414-top"
"Chr02-000484219-bot","MsaSorghum000452","Chr01-02084414-top"
"Chr01-003035414-top","MsaSorghum000458","Chr01-02096324-bot"
"Chr02-000468085-top","MsaSorghum000458","Chr01-02096324-bot"
"Chr01-003034994-top","MsaSorghum000459","Chr01-02096756-bot"
"Chr02-000467657-top","MsaSorghum000459","Chr01-02096756-bot"
"Chr01-003032303-top","MsaSorghum000461","Chr01-02099566-bot"
"Chr02-000465025-top","MsaSorghum000461","Chr01-02099566-bot"
"Chr01-003026007-bot","MsaSorghum000463","Chr01-02118541-top"
"Chr02-000432533-bot","MsaSorghum000463","Chr01-02118541-top"
"Chr01-003025852-top","MsaSorghum000464","Chr01-02118694-bot"
"Chr02-000432382-top","MsaSorghum000464","Chr01-02118694-bot"
"Chr01-002992943-bot","MsaSorghum000468","Chr01-02128043-top"
"Chr02-000423537-bot","MsaSorghum000468","Chr01-02128043-top"
"Chr01-003157628-top","MsaSorghum000475","Chr01-02167440-top"
"Chr02-000329749-bot","MsaSorghum000475","Chr01-02167440-top"
"Chr01-003219049-top","MsaSorghum000476","Chr01-02178105-top"
"Chr02-000293894-bot","MsaSorghum000476","Chr01-02178105-top"
"Chr01-003239551-top","MsaSorghum000477","Chr01-02186580-top"
"Chr02-000286232-bot","MsaSorghum000477","Chr01-02186580-top"
"Chr01-003240484-top","MsaSorghum000479","Chr01-02187287-top"
"Chr02-000285520-bot","MsaSorghum000479","Chr01-02187287-top"
"Chr01-003240487-bot","MsaSorghum000480","Chr01-02187290-bot"
"Chr02-000285517-top","MsaSorghum000480","Chr01-02187290-bot"
"Chr01-003258198-top","MsaSorghum000488","Chr01-02244098-top"
"Chr02-000182575-bot","MsaSorghum000488","Chr01-02244098-top"
"Chr01-003258201-bot","MsaSorghum000489","Chr01-02244101-bot"
"Chr02-000182572-top","MsaSorghum000489","Chr01-02244101-bot"
"Chr01-003268672-bot","MsaSorghum000490","Chr01-02248796-bot"
"Chr02-000159353-top","MsaSorghum000490","Chr01-02248796-bot"
"Chr01-003332577-top","MsaSorghum000492","Chr01-02267772-top"
"Chr02-000054428-bot","MsaSorghum000492","Chr01-02267772-top"
"Chr01-003332580-bot","MsaSorghum000493","Chr01-02267775-bot"
"Chr02-000054425-top","MsaSorghum000493","Chr01-02267775-bot"
"Chr01-003332694-top","MsaSorghum000494","Chr01-02267889-top"
"Chr02-000049819-bot","MsaSorghum000494","Chr01-02267889-top"
"Chr01-003332908-top","MsaSorghum000496","Chr01-02268103-top"
"Chr02-000049605-bot","MsaSorghum000496","Chr01-02268103-top"
"Chr01-003348528-bot","MsaSorghum000500","Chr01-02285231-bot"
"Chr02-000021365-top","MsaSorghum000500","Chr01-02285231-bot"
"Chr01-003358685-bot","MsaSorghum000501","Chr01-02289876-bot"
"Chr02-000003913-top","MsaSorghum000501","Chr01-02289876-bot"
"Chr01-003374057-top","MsaSorghum000502","Chr01-02294759-top"
"Chr02-002635881-bot","MsaSorghum000502","Chr01-02294759-top"
"Chr01-003374060-bot","MsaSorghum000503","Chr01-02294762-bot"
"Chr02-002635878-top","MsaSorghum000503","Chr01-02294762-bot"
"Chr01-003400207-bot","MsaSorghum000505","Chr01-02311145-bot"
"Chr02-002614306-top","MsaSorghum000505","Chr01-02311145-bot"
"Chr01-003401203-bot","MsaSorghum000506","Chr01-02312089-bot"
"Chr02-002613301-top","MsaSorghum000506","Chr01-02312089-bot"
"Chr01-003404889-top","MsaSorghum000507","Chr01-02315019-top"
"Chr02-002589376-bot","MsaSorghum000507","Chr01-02315019-top"
"Chr01-003406056-bot","MsaSorghum000508","Chr01-02316179-bot"
"Chr02-002588265-top","MsaSorghum000508","Chr01-02316179-bot"
"Chr01-003451675-top","MsaSorghum000514","Chr01-02341734-top"
"Chr02-002555817-bot","MsaSorghum000514","Chr01-02341734-top"
"Chr01-003454261-top","MsaSorghum000516","Chr01-02344222-top"
"Chr02-002553229-bot","MsaSorghum000516","Chr01-02344222-top"
"Chr01-003456545-bot","MsaSorghum000519","Chr01-02346537-bot"
"Chr02-002550942-top","MsaSorghum000519","Chr01-02346537-bot"
"Chr01-003490537-top","MsaSorghum000522","Chr01-02366186-top"
"Chr02-002483941-top","MsaSorghum000522","Chr01-02366186-top"
"Chr01-003578454-bot","MsaSorghum000537","Chr01-02392863-bot"
"Chr02-002439292-top","MsaSorghum000537","Chr01-02392863-bot"
"Chr01-003586842-top","MsaSorghum000542","Chr01-02401993-top"
"Chr02-002417128-bot","MsaSorghum000542","Chr01-02401993-top"
"Chr01-003590609-top","MsaSorghum000543","Chr01-02406164-top"
"Chr02-002401536-bot","MsaSorghum000543","Chr01-02406164-top"
"Chr01-003632278-top","MsaSorghum000544","Chr01-02407482-top"
"Chr02-002398190-bot","MsaSorghum000544","Chr01-02407482-top"
"Chr01-003632284-top","MsaSorghum000545","Chr01-02407488-top"
"Chr02-002398184-bot","MsaSorghum000545","Chr01-02407488-top"
"Chr01-003633414-top","MsaSorghum000546","Chr01-02408486-top"
"Chr02-002397253-bot","MsaSorghum000546","Chr01-02408486-top"
"Chr01-003634159-top","MsaSorghum000547","Chr01-02409142-top"
"Chr02-002396535-bot","MsaSorghum000547","Chr01-02409142-top"
"Chr01-003634525-top","MsaSorghum000548","Chr01-02409498-top"
"Chr02-002396170-bot","MsaSorghum000548","Chr01-02409498-top"
"Chr01-003667204-top","MsaSorghum000551","Chr01-02426966-top"
"Chr02-002380802-bot","MsaSorghum000551","Chr01-02426966-top"
"Chr01-003669884-top","MsaSorghum000552","Chr01-02429165-top"
"Chr02-002347009-bot","MsaSorghum000552","Chr01-02429165-top"
"Chr01-003677744-bot","MsaSorghum000557","Chr01-02436388-bot"
"Chr02-002338664-top","MsaSorghum000557","Chr01-02436388-bot"
"Chr01-003717536-top","MsaSorghum000571","Chr01-02480099-top"
"Chr02-002155197-bot","MsaSorghum000571","Chr01-02480099-top"
"Chr01-003718138-bot","MsaSorghum000572","Chr01-02480693-bot"
"Chr02-002154595-top","MsaSorghum000572","Chr01-02480693-bot"
"Chr01-003722803-bot","MsaSorghum000575","Chr01-02484442-bot"
"Chr02-002149977-top","MsaSorghum000575","Chr01-02484442-bot"
"Chr01-003723216-bot","MsaSorghum000577","Chr01-02484893-bot"
"Chr02-002149564-top","MsaSorghum000577","Chr01-02484893-bot"
"Chr01-003758295-bot","MsaSorghum000578","Chr01-02489133-bot"
"Chr02-002143002-top","MsaSorghum000578","Chr01-02489133-bot"
"Chr01-003760412-bot","MsaSorghum000580","Chr01-02497038-bot"
"Chr02-002140366-top","MsaSorghum000580","Chr01-02497038-bot"
"Chr01-003764802-top","MsaSorghum000581","Chr01-02499355-top"
"Chr02-002138099-bot","MsaSorghum000581","Chr01-02499355-top"
"Chr01-003872834-top","MsaSorghum000587","Chr01-02527685-top"
"Chr02-002099991-bot","MsaSorghum000587","Chr01-02527685-top"
"Chr01-003889965-bot","MsaSorghum000589","Chr01-02537426-bot"
"Chr02-002088571-top","MsaSorghum000589","Chr01-02537426-bot"
"Chr01-003891741-bot","MsaSorghum000590","Chr01-02539316-bot"
"Chr02-002086796-top","MsaSorghum000590","Chr01-02539316-bot"
"Chr01-004120821-bot","MsaSorghum000596","Chr01-02559684-top"
"Chr02-002224051-top","MsaSorghum000596","Chr01-02559684-top"
"Chr01-004071559-bot","MsaSorghum000601","Chr01-02588836-top"
"Chr02-002024023-bot","MsaSorghum000601","Chr01-02588836-top"
"Chr01-004062824-top","MsaSorghum000603","Chr01-02596558-bot"
"Chr02-002005857-top","MsaSorghum000603","Chr01-02596558-bot"
"Chr01-003991545-bot","MsaSorghum000606","Chr01-02609622-top"
"Chr02-001987499-bot","MsaSorghum000606","Chr01-02609622-top"
"Chr01-003961297-bot","MsaSorghum000608","Chr01-02621561-top"
"Chr02-001908908-bot","MsaSorghum000608","Chr01-02621561-top"
"Chr01-003950711-bot","MsaSorghum000613","Chr01-02632985-top"
"Chr02-001895329-bot","MsaSorghum000613","Chr01-02632985-top"
"Chr01-003950708-top","MsaSorghum000614","Chr01-02632988-bot"
"Chr02-001895326-top","MsaSorghum000614","Chr01-02632988-bot"
"Chr01-003950545-bot","MsaSorghum000615","Chr01-02633151-top"
"Chr02-001895163-bot","MsaSorghum000615","Chr01-02633151-top"
"Chr01-003950542-top","MsaSorghum000616","Chr01-02633154-bot"
"Chr02-001895160-top","MsaSorghum000616","Chr01-02633154-bot"
"Chr01-003943495-top","MsaSorghum000618","Chr01-02635965-bot"
"Chr02-001892486-top","MsaSorghum000618","Chr01-02635965-bot"
"Chr01-003921098-bot","MsaSorghum000619","Chr01-02643028-top"
"Chr02-001881648-bot","MsaSorghum000619","Chr01-02643028-top"
"Chr01-003921095-top","MsaSorghum000620","Chr01-02643031-bot"
"Chr02-001881645-top","MsaSorghum000620","Chr01-02643031-bot"
"Chr01-004189454-bot","MsaSorghum000624","Chr01-02661197-bot"
"Chr02-001858787-top","MsaSorghum000624","Chr01-02661197-bot"
"Chr01-004190093-top","MsaSorghum000625","Chr01-02661846-top"
"Chr02-001858146-bot","MsaSorghum000625","Chr01-02661846-top"
"Chr01-004240908-top","MsaSorghum000630","Chr01-02694018-top"
"Chr02-001781009-bot","MsaSorghum000630","Chr01-02694018-top"
"Chr01-004240911-bot","MsaSorghum000631","Chr01-02694021-bot"
"Chr02-001781006-top","MsaSorghum000631","Chr01-02694021-bot"
"Chr01-004314656-bot","MsaSorghum000641","Chr01-02711937-bot"
"Chr02-001756220-top","MsaSorghum000641","Chr01-02711937-bot"
"Chr01-004314936-top","MsaSorghum000642","Chr01-02712198-top"
"Chr02-001755959-bot","MsaSorghum000642","Chr01-02712198-top"
"Chr01-004314939-bot","MsaSorghum000643","Chr01-02712201-bot"
"Chr02-001755956-top","MsaSorghum000643","Chr01-02712201-bot"
"Chr01-004317771-top","MsaSorghum000647","Chr01-02714740-top"
"Chr02-001748239-bot","MsaSorghum000647","Chr01-02714740-top"
"Chr01-004317774-bot","MsaSorghum000648","Chr01-02714743-bot"
"Chr02-001748236-top","MsaSorghum000648","Chr01-02714743-bot"
"Chr01-004318330-top","MsaSorghum000649","Chr01-02715299-top"
"Chr02-001747680-bot","MsaSorghum000649","Chr01-02715299-top"
"Chr01-004318333-bot","MsaSorghum000650","Chr01-02715302-bot"
"Chr02-001747677-top","MsaSorghum000650","Chr01-02715302-bot"
"Chr01-004334816-top","MsaSorghum000653","Chr01-02717846-top"
"Chr02-001745285-bot","MsaSorghum000653","Chr01-02717846-top"
"Chr01-004342066-top","MsaSorghum000654","Chr01-02722366-top"
"Chr02-001701015-bot","MsaSorghum000654","Chr01-02722366-top"
"Chr01-004342069-bot","MsaSorghum000655","Chr01-02722369-bot"
"Chr02-001701012-top","MsaSorghum000655","Chr01-02722369-bot"
"Chr01-004417746-top","MsaSorghum000657","Chr01-02737334-top"
"Chr02-001619624-bot","MsaSorghum000657","Chr01-02737334-top"
"Chr01-004424877-top","MsaSorghum000660","Chr01-02743093-top"
"Chr02-001611082-bot","MsaSorghum000660","Chr01-02743093-top"
"Chr01-004427160-top","MsaSorghum000661","Chr01-02744833-top"
"Chr02-001608561-bot","MsaSorghum000661","Chr01-02744833-top"
"Chr01-004431926-top","MsaSorghum000663","Chr01-02750738-top"
"Chr02-001603821-bot","MsaSorghum000663","Chr01-02750738-top"
"Chr01-004459106-bot","MsaSorghum000666","Chr01-02769057-bot"
"Chr02-001568927-top","MsaSorghum000666","Chr01-02769057-bot"
"Chr01-004506069-bot","MsaSorghum000675","Chr01-02788906-bot"
"Chr02-001550924-top","MsaSorghum000675","Chr01-02788906-bot"
"Chr01-004513480-bot","MsaSorghum000681","Chr01-02816826-bot"
"Chr02-001410557-bot","MsaSorghum000681","Chr01-02816826-bot"
"Chr01-001951076-top","MsaSorghum000682","Chr01-02819774-bot"
"Chr02-001413260-bot","MsaSorghum000682","Chr01-02819774-bot"
"Chr01-004615129-top","MsaSorghum000688","Chr01-02854194-bot"
"Chr02-001506086-bot","MsaSorghum000688","Chr01-02854194-bot"
"Chr01-004598744-bot","MsaSorghum000690","Chr01-02865773-top"
"Chr02-001168992-top","MsaSorghum000690","Chr01-02865773-top"
"Chr01-004702545-bot","MsaSorghum000696","Chr01-02901723-top"
"Chr02-001266883-top","MsaSorghum000696","Chr01-02901723-top"
"Chr01-004702542-top","MsaSorghum000697","Chr01-02901726-bot"
"Chr02-001266886-bot","MsaSorghum000697","Chr01-02901726-bot"
"Chr01-004697597-bot","MsaSorghum000699","Chr01-02906675-top"
"Chr02-001271867-top","MsaSorghum000699","Chr01-02906675-top"
"Chr01-004695313-bot","MsaSorghum000700","Chr01-02909070-top"
"Chr02-001274363-top","MsaSorghum000700","Chr01-02909070-top"
"Chr01-004717317-bot","MsaSorghum000704","Chr01-02936853-bot"
"Chr02-001327313-bot","MsaSorghum000704","Chr01-02936853-bot"
"Chr01-004766501-bot","MsaSorghum000705","Chr01-02938454-bot"
"Chr02-001328257-bot","MsaSorghum000705","Chr01-02938454-bot"
"Chr01-004766510-top","MsaSorghum000706","Chr01-02938463-top"
"Chr02-001328266-top","MsaSorghum000706","Chr01-02938463-top"
"Chr01-004768226-top","MsaSorghum000708","Chr01-02940338-top"
"Chr02-001330004-top","MsaSorghum000708","Chr01-02940338-top"
"Chr01-004791783-top","MsaSorghum000712","Chr01-02956020-top"
"Chr02-001360012-top","MsaSorghum000712","Chr01-02956020-top"
"Chr01-004793729-top","MsaSorghum000713","Chr01-02957984-top"
"Chr02-001362112-top","MsaSorghum000713","Chr01-02957984-top"
"Chr01-004793732-bot","MsaSorghum000714","Chr01-02957987-bot"
"Chr02-001362115-bot","MsaSorghum000714","Chr01-02957987-bot"
"Chr01-004794544-bot","MsaSorghum000716","Chr01-02958799-bot"
"Chr02-001362927-bot","MsaSorghum000716","Chr01-02958799-bot"
"Chr01-004848287-top","MsaSorghum000717","Chr01-02964045-top"
"Chr02-002659686-top","MsaSorghum000717","Chr01-02964045-top"
"Chr01-004848290-bot","MsaSorghum000718","Chr01-02964048-bot"
"Chr02-002659689-bot","MsaSorghum000718","Chr01-02964048-bot"
"Chr01-004851446-bot","MsaSorghum000719","Chr01-02967155-bot"
"Chr02-002662900-bot","MsaSorghum000719","Chr01-02967155-bot"
"Chr01-004854888-bot","MsaSorghum000722","Chr01-02970588-bot"
"Chr02-002666306-bot","MsaSorghum000722","Chr01-02970588-bot"
"Chr01-004857795-bot","MsaSorghum000723","Chr01-02973020-bot"
"Chr02-002669508-bot","MsaSorghum000723","Chr01-02973020-bot"
"Chr01-004861076-top","MsaSorghum000724","Chr01-02977611-top"
"Chr02-002674499-top","MsaSorghum000724","Chr01-02977611-top"
"Chr01-004892316-bot","MsaSorghum000726","Chr01-02985999-bot"
"Chr02-002682657-bot","MsaSorghum000726","Chr01-02985999-bot"
"Chr01-004944861-top","MsaSorghum000728","Chr01-03006542-top"
"Chr02-002740307-top","MsaSorghum000728","Chr01-03006542-top"
"Chr01-004946571-top","MsaSorghum000730","Chr01-03008042-top"
"Chr02-002741976-top","MsaSorghum000730","Chr01-03008042-top"
"Chr01-004978531-top","MsaSorghum000732","Chr01-03026415-top"
"Chr02-002829459-top","MsaSorghum000732","Chr01-03026415-top"
"Chr01-004978660-bot","MsaSorghum000733","Chr01-03026544-bot"
"Chr02-002829588-bot","MsaSorghum000733","Chr01-03026544-bot"
"Chr01-004979802-bot","MsaSorghum000735","Chr01-03027652-bot"
"Chr02-002830763-bot","MsaSorghum000735","Chr01-03027652-bot"
"Chr01-004982116-top","MsaSorghum000737","Chr01-03029917-top"
"Chr02-002833086-top","MsaSorghum000737","Chr01-03029917-top"
"Chr01-004997100-top","MsaSorghum000738","Chr01-03039302-top"
"Chr02-002844565-top","MsaSorghum000738","Chr01-03039302-top"
"Chr01-005036792-top","MsaSorghum000741","Chr01-03050084-top"
"Chr02-002868403-top","MsaSorghum000741","Chr01-03050084-top"
"Chr01-005072680-top","MsaSorghum000743","Chr01-03056850-top"
"Chr02-002914575-top","MsaSorghum000743","Chr01-03056850-top"
"Chr01-005092804-top","MsaSorghum000744","Chr01-03077157-top"
"Chr02-002940458-top","MsaSorghum000744","Chr01-03077157-top"
"Chr01-005092807-bot","MsaSorghum000745","Chr01-03077160-bot"
"Chr02-002940461-bot","MsaSorghum000745","Chr01-03077160-bot"
"Chr01-005094457-bot","MsaSorghum000746","Chr01-03078826-bot"
"Chr02-002942234-bot","MsaSorghum000746","Chr01-03078826-bot"
"Chr01-005095966-top","MsaSorghum000748","Chr01-03080353-top"
"Chr02-002943762-top","MsaSorghum000748","Chr01-03080353-top"
"Chr01-005096125-top","MsaSorghum000750","Chr01-03080517-top"
"Chr02-002943926-top","MsaSorghum000750","Chr01-03080517-top"
"Chr01-005096128-bot","MsaSorghum000751","Chr01-03080520-bot"
"Chr02-002943929-bot","MsaSorghum000751","Chr01-03080520-bot"
"Chr01-005097590-top","MsaSorghum000752","Chr01-03082488-top"
"Chr02-002945474-top","MsaSorghum000752","Chr01-03082488-top"
"Chr01-005097716-top","MsaSorghum000753","Chr01-03082616-top"
"Chr02-002945601-top","MsaSorghum000753","Chr01-03082616-top"
"Chr01-005120862-bot","MsaSorghum000759","Chr01-03097523-bot"
"Chr02-002979005-bot","MsaSorghum000759","Chr01-03097523-bot"
"Chr01-005130124-bot","MsaSorghum000762","Chr01-03109077-bot"
"Chr02-002986313-bot","MsaSorghum000762","Chr01-03109077-bot"
"Chr01-005275497-top","MsaSorghum000766","Chr01-03129401-top"
"Chr02-003034496-top","MsaSorghum000766","Chr01-03129401-top"
"Chr01-005275500-bot","MsaSorghum000767","Chr01-03129404-bot"
"Chr02-003034499-bot","MsaSorghum000767","Chr01-03129404-bot"
"Chr01-005275679-bot","MsaSorghum000768","Chr01-03129583-bot"
"Chr02-003034676-bot","MsaSorghum000768","Chr01-03129583-bot"
"Chr01-005337386-bot","MsaSorghum000769","Chr01-03144214-bot"
"Chr02-003073958-bot","MsaSorghum000769","Chr01-03144214-bot"
"Chr01-005346341-top","MsaSorghum000770","Chr01-03148815-top"
"Chr02-003078676-top","MsaSorghum000770","Chr01-03148815-top"
"Chr01-005346768-bot","MsaSorghum000771","Chr01-03149242-bot"
"Chr02-003079102-bot","MsaSorghum000771","Chr01-03149242-bot"
"Chr01-005424867-bot","MsaSorghum000782","Chr01-03186621-bot"
"Chr02-003126607-bot","MsaSorghum000782","Chr01-03186621-bot"
"Chr01-005426987-top","MsaSorghum000783","Chr01-03188592-top"
"Chr02-003128605-top","MsaSorghum000783","Chr01-03188592-top"
"Chr01-005427446-top","MsaSorghum000785","Chr01-03189050-top"
"Chr02-003129064-top","MsaSorghum000785","Chr01-03189050-top"
"Chr01-005427449-bot","MsaSorghum000786","Chr01-03189053-bot"
"Chr02-003129067-bot","MsaSorghum000786","Chr01-03189053-bot"
"Chr01-005522545-top","MsaSorghum000789","Chr01-03241900-top"
"Chr02-003182195-top","MsaSorghum000789","Chr01-03241900-top"
"Chr01-005522860-top","MsaSorghum000791","Chr01-03242215-top"
"Chr02-003182510-top","MsaSorghum000791","Chr01-03242215-top"
"Chr01-005558672-top","MsaSorghum000793","Chr01-03249808-top"
"Chr02-003192581-top","MsaSorghum000793","Chr01-03249808-top"
"Chr01-005558675-bot","MsaSorghum000794","Chr01-03249811-bot"
"Chr02-003192584-bot","MsaSorghum000794","Chr01-03249811-bot"
"Chr01-005589446-top","MsaSorghum000796","Chr01-03269150-top"
"Chr02-003253637-top","MsaSorghum000796","Chr01-03269150-top"
"Chr01-005667517-top","MsaSorghum000798","Chr01-03279421-top"
"Chr02-003276015-top","MsaSorghum000798","Chr01-03279421-top"
"Chr01-005670664-top","MsaSorghum000799","Chr01-03281212-top"
"Chr02-003277848-top","MsaSorghum000799","Chr01-03281212-top"
"Chr01-005670761-top","MsaSorghum000800","Chr01-03281309-top"
"Chr02-003277945-top","MsaSorghum000800","Chr01-03281309-top"
"Chr01-139137332-top","MsaSorghum000801","Chr01-03287425-top"
"Chr02-134024493-top","MsaSorghum000801","Chr01-03287425-top"
"Chr01-005712799-top","MsaSorghum000804","Chr01-03294808-top"
"Chr02-003312872-top","MsaSorghum000804","Chr01-03294808-top"
"Chr01-005719302-top","MsaSorghum000809","Chr01-03304508-top"
"Chr02-003325800-top","MsaSorghum000809","Chr01-03304508-top"
"Chr01-005719883-bot","MsaSorghum000810","Chr01-03305106-bot"
"Chr02-003326394-bot","MsaSorghum000810","Chr01-03305106-bot"
"Chr01-005720429-top","MsaSorghum000811","Chr01-03305635-top"
"Chr02-003326947-top","MsaSorghum000811","Chr01-03305635-top"
"Chr01-005720546-bot","MsaSorghum000813","Chr01-03305746-bot"
"Chr02-003327058-bot","MsaSorghum000813","Chr01-03305746-bot"
"Chr01-005777282-bot","MsaSorghum000828","Chr01-03361659-bot"
"Chr02-003395560-bot","MsaSorghum000828","Chr01-03361659-bot"
"Chr01-005777313-top","MsaSorghum000829","Chr01-03361690-top"
"Chr02-003396595-top","MsaSorghum000829","Chr01-03361690-top"
"Chr01-005874761-bot","MsaSorghum000838","Chr01-03399173-bot"
"Chr02-003538107-bot","MsaSorghum000838","Chr01-03399173-bot"
"Chr01-005877848-top","MsaSorghum000839","Chr01-03401997-top"
"Chr02-003541244-top","MsaSorghum000839","Chr01-03401997-top"
"Chr01-005877848-top","MsaSorghum000841","Chr01-03412581-top"
"Chr02-003541244-top","MsaSorghum000841","Chr01-03412581-top"
"Chr01-006055391-top","MsaSorghum000843","Chr01-03466634-top"
"Chr02-003636207-top","MsaSorghum000843","Chr01-03466634-top"
"Chr01-006061226-top","MsaSorghum000844","Chr01-03471341-top"
"Chr02-003641103-top","MsaSorghum000844","Chr01-03471341-top"
"Chr01-006061730-top","MsaSorghum000845","Chr01-03471845-top"
"Chr02-003641607-top","MsaSorghum000845","Chr01-03471845-top"
"Chr01-006061733-bot","MsaSorghum000846","Chr01-03471848-bot"
"Chr02-003641610-bot","MsaSorghum000846","Chr01-03471848-bot"
"Chr01-006068054-bot","MsaSorghum000848","Chr01-03478212-bot"
"Chr02-003647867-bot","MsaSorghum000848","Chr01-03478212-bot"
"Chr01-006068999-bot","MsaSorghum000849","Chr01-03479138-bot"
"Chr02-003648739-bot","MsaSorghum000849","Chr01-03479138-bot"
"Chr01-006093393-top","MsaSorghum000852","Chr01-03497024-top"
"Chr02-003677188-top","MsaSorghum000852","Chr01-03497024-top"
"Chr01-006177388-bot","MsaSorghum000856","Chr01-03514488-bot"
"Chr02-003778127-bot","MsaSorghum000856","Chr01-03514488-bot"
"Chr01-006246893-bot","MsaSorghum000859","Chr01-03535459-bot"
"Chr02-003798415-bot","MsaSorghum000859","Chr01-03535459-bot"
"Chr01-061837455-bot","MsaSorghum000871","Chr01-03575223-top"
"Chr02-069546959-bot","MsaSorghum000871","Chr01-03575223-top"
"Chr01-061835629-bot","MsaSorghum000872","Chr01-03575430-top"
"Chr02-069545153-bot","MsaSorghum000872","Chr01-03575430-top"
"Chr01-061834415-bot","MsaSorghum000873","Chr01-03576689-top"
"Chr02-069543938-bot","MsaSorghum000873","Chr01-03576689-top"
"Chr01-061834412-top","MsaSorghum000874","Chr01-03576692-bot"
